,power_power_plant,total_modules,modules_amount,tables_display,comprimento_mesa,largura_mesa,tables_amount,cobre_nu,haste,elcectodes_connector,foundation_connector,splitbolt
547,886.14,1641,"[234, 237]","[6.0, 1.0]",90132.0,77579.0,7.0,619.818,36.0,36.0,33.0,36.0
548,887.76,1644,"[234, 237]","[5.0, 2.0]",90132.0,77579.0,7.0,619.818,36.0,36.0,33.0,36.0
549,889.38,1647,"[234, 237]","[4.0, 3.0]",90132.0,77579.0,7.0,619.818,36.0,36.0,33.0,36.0
550,891.0,1650,[330.0],[5],125503.0,53985.0,5.0,621.982,36.0,36.0,34.0,36.0
551,892.62,1653,"[234, 237]","[2.0, 5.0]",90132.0,77579.0,7.0,619.818,36.0,36.0,33.0,36.0
552,894.24,1656,[276.0],[6],104965.0,65782.0,6.0,563.424,34.0,34.0,32.0,34.0
553,895.86,1659,[237.0],[7],90132.0,77579.0,7.0,619.818,36.0,36.0,33.0,36.0
554,897.48,1662,"[237, 240]","[6.0, 1.0]",91273.0,77579.0,7.0,625.523,36.0,36.0,33.0,36.0
555,899.1,1665,[333.0],[5],126644.0,53985.0,5.0,626.546,36.0,36.0,34.0,36.0
556,900.72,1668,"[237, 240]","[4.0, 3.0]",91273.0,77579.0,7.0,625.523,36.0,36.0,33.0,36.0
557,902.34,1671,"[237, 240]","[3.0, 4.0]",91273.0,77579.0,7.0,625.523,36.0,36.0,33.0,36.0
558,903.96,1674,[279.0],[6],106106.0,65782.0,6.0,567.988,34.0,34.0,32.0,34.0
559,905.58,1677,"[237, 240]","[1.0, 6.0]",91273.0,77579.0,7.0,625.523,36.0,36.0,33.0,36.0
560,907.2,1680,[240.0],[7],91273.0,77579.0,7.0,625.523,36.0,36.0,33.0,36.0
561,908.82,1683,"[240, 243]","[6.0, 1.0]",92414.0,77579.0,7.0,631.228,36.0,36.0,33.0,36.0
562,910.44,1686,"[240, 243]","[5.0, 2.0]",92414.0,77579.0,7.0,631.228,36.0,36.0,33.0,36.0
563,912.06,1689,"[240, 243]","[4.0, 3.0]",92414.0,77579.0,7.0,631.228,36.0,36.0,33.0,36.0
564,913.68,1692,[282.0],[6],107247.0,65782.0,6.0,572.552,34.0,34.0,32.0,34.0
565,915.3,1695,[339.0],[5],128926.0,53985.0,5.0,635.674,36.0,36.0,34.0,36.0
566,916.92,1698,"[240, 243]","[1.0, 6.0]",92414.0,77579.0,7.0,631.228,36.0,36.0,33.0,36.0
567,918.54,1701,[243.0],[7],92414.0,77579.0,7.0,631.228,36.0,36.0,33.0,36.0
568,920.16,1704,"[243, 246]","[6.0, 1.0]",93555.0,77579.0,7.0,636.933,36.0,36.0,33.0,36.0
569,921.78,1707,"[243, 246]","[5.0, 2.0]",93555.0,77579.0,7.0,636.933,36.0,36.0,33.0,36.0
570,923.4,1710,[285.0],[6],108388.0,65782.0,6.0,577.116,34.0,34.0,32.0,34.0
571,925.02,1713,"[243, 246]","[3.0, 4.0]",93555.0,77579.0,7.0,636.933,36.0,36.0,33.0,36.0
572,926.64,1716,"[243, 246]","[2.0, 5.0]",93555.0,77579.0,7.0,636.933,36.0,36.0,33.0,36.0
573,928.26,1719,"[243, 246]","[1.0, 6.0]",93555.0,77579.0,7.0,636.933,36.0,36.0,33.0,36.0
574,929.88,1722,[246.0],[7],93555.0,77579.0,7.0,636.933,36.0,36.0,33.0,36.0
575,931.5,1725,[345.0],[5],131208.0,53985.0,5.0,644.802,36.0,36.0,34.0,36.0
576,933.12,1728,[288.0],[6],109529.0,65782.0,6.0,581.68,34.0,34.0,32.0,34.0
577,934.74,1731,"[246, 249]","[4.0, 3.0]",94696.0,77579.0,7.0,642.638,36.0,36.0,33.0,36.0
578,936.36,1734,"[246, 249]","[3.0, 4.0]",94696.0,77579.0,7.0,642.638,36.0,36.0,33.0,36.0
579,937.98,1737,"[246, 249]","[2.0, 5.0]",94696.0,77579.0,7.0,642.638,36.0,36.0,33.0,36.0
580,939.6,1740,[348.0],[5],132349.0,53985.0,5.0,649.366,36.0,36.0,34.0,36.0
581,941.22,1743,[249.0],[7],94696.0,77579.0,7.0,642.638,36.0,36.0,33.0,36.0
582,942.84,1746,[291.0],[6],110670.0,65782.0,6.0,586.244,34.0,34.0,32.0,34.0
583,944.46,1749,"[249, 252]","[5.0, 2.0]",95837.0,77579.0,7.0,648.343,36.0,36.0,33.0,36.0
584,946.08,1752,"[249, 252]","[4.0, 3.0]",95837.0,77579.0,7.0,648.343,36.0,36.0,33.0,36.0
585,947.7,1755,[351.0],[5],133490.0,53985.0,5.0,653.93,36.0,36.0,34.0,36.0
586,949.32,1758,"[249, 252]","[2.0, 5.0]",95837.0,77579.0,7.0,648.343,36.0,36.0,33.0,36.0
587,950.94,1761,"[249, 252]","[1.0, 6.0]",95837.0,77579.0,7.0,648.343,36.0,36.0,33.0,36.0
588,952.56,1764,[252.0],[7],95837.0,77579.0,7.0,648.343,36.0,36.0,33.0,36.0
589,954.18,1767,"[252, 255]","[6.0, 1.0]",96978.0,77579.0,7.0,654.048,36.0,36.0,33.0,36.0
590,955.8,1770,[354.0],[5],134631.0,53985.0,5.0,658.494,36.0,36.0,34.0,36.0
591,957.42,1773,"[252, 255]","[4.0, 3.0]",96978.0,77579.0,7.0,654.048,36.0,36.0,33.0,36.0
592,959.04,1776,"[252, 255]","[3.0, 4.0]",96978.0,77579.0,7.0,654.048,36.0,36.0,33.0,36.0
593,960.66,1779,"[252, 255]","[2.0, 5.0]",96978.0,77579.0,7.0,654.048,36.0,36.0,33.0,36.0
594,962.28,1782,[297.0],[6],112952.0,65782.0,6.0,595.372,34.0,34.0,32.0,34.0
595,963.9,1785,[255.0],[7],96978.0,77579.0,7.0,654.048,36.0,36.0,33.0,36.0
596,965.52,1788,"[255, 258]","[6.0, 1.0]",98119.0,77579.0,7.0,659.753,41.0,41.0,38.0,41.0
597,967.14,1791,"[255, 258]","[5.0, 2.0]",98119.0,77579.0,7.0,659.753,41.0,41.0,38.0,41.0
598,968.76,1794,"[255, 258]","[4.0, 3.0]",98119.0,77579.0,7.0,659.753,41.0,41.0,38.0,41.0
599,970.38,1797,"[255, 258]","[3.0, 4.0]",98119.0,77579.0,7.0,659.753,41.0,41.0,38.0,41.0
600,972.0,1800,[300.0],[6],114093.0,65782.0,6.0,599.936,34.0,34.0,32.0,34.0
